下午3:59 - 2017年11月30日," What are the SDGs? Well.... @UNACanada #TeachSDGspic.twitter.com/iZApa7Ir8g "
上午6:23 - 2017年11月10日," Speaking at @UN #COP23 @SDSNYouth, I emphasised: #ClimateAction must start in communities - @literoflight unique example of grassroots #SDGs pic.twitter.com/WDQo4Y49dJ "
上午6:23 - 2017年11月10日," Art offers an empathy that connects the mind to the soul. This power of art can move us more collectively towards the solution, in a way the SDGs might not be able to, says Francesca von Habsburg. #OpenOceanSpace #COP23pic.twitter.com/MQPqRxEAeA "
上午6:22 - 2017年11月10日," .@G7 #Health Ministers Recognize Impacts of Environmental Degradation on Human Health: http://sdg.iisd.org/news/g7-health-ministers-recognize-impacts-of-environmental-degradation-on-human-health/?? - #SDGs "
上午6:18 - 2017年11月10日," "There is a tremendous opportunity for digital technology for countries in #Asia. Achieving the #SDGs is possible if supported by #digitalfinance," @AntFinancial's Chen Long http://ow.ly/Yfgl30gurMq? @ecobusinesscompic.twitter.com/2acROYeIYk "
上午6:15 - 2017年11月10日," congratulations to our great #COP23volunteers who are spreading the word on #climateaction and #SDGs "
上午6:12 - 2017年11月10日," Anupam Anand, Evaluation Officer at the GEF Independent Evaluation Office, discussing the role of geospatial science for tracking SDGs through measurement and evaluation of GEF interventions #Eval17pic.twitter.com/lCNfG1yVqQ "
上午6:11 - 2017年11月10日," The #SDGs 1 No Poverty 2 Zero Hunger 3 Good Health  4 Quality Education 5 Gender Equality 6 Clean Water  7 Clean Energy 8 Decent Work  9 Innovation  10 Reduced Inequality 11 Cities 12 Consumption  13 Climate Action 14 Life Below Water 15 Life on Land 16 Peace 17 Partnerships pic.twitter.com/gXH2wBpsJM "
上午6:11 - 2017年11月10日," Honored to be collaborators with @CANYouth4SDGs by @FESplanet as part of our work with #universities #GlobalAction #SDGs http://sdgf.co/asu2r? "
上午6:11 - 2017年11月10日," Prefab loadbearing #biosourced panels with window openings ready to be assembled for construction of #affordable #Passivhaus #strawbale #greentech #1000solutions #HealthyLiving #ecomaterials #SDGs #cleanfuture #cleanimpactpic.twitter.com/wwgm0WC0nN "
上午6:11 - 2017年11月10日," Proud to be the 2nd country with the most Blue Flags in the world : 492 beaches and marinas in 2017 #globalactiondays #FEEGAD #SDGs pic.twitter.com/GKVdYhd5da "
上午6:08 - 2017年11月10日," Use 25% discount code P100CSE to register for #CvCC17 today. http://www.solveclimatechange.com? #Sustainability #circulareconomy #ESG #CSR #susty #ClimateAction #ActOnClimate #sustainable #RE100 #RenewableEnergy #SupplyChain #business #climatechange #SDGs pic.twitter.com/jLpWS0f0qt "
上午6:07 - 2017年11月10日," Are you an #NGO or #SocEnt? Are you aligning your employee engagement to engage with millennials? If not, you better be. #SDGs "
上午6:07 - 2017年11月10日," True @GOettingerEU, but will you please make sure that #EUBudget becomes fit for future through delivering on a #fair+#sustainable #FutureofCAP and protecting our #environment?! #SDGs #EUBudget4results #MFFhttps://twitter.com/GOettingerEU/status/928981146586755074?? "
上午6:07 - 2017年11月10日," Fantastic job opportunity: @cabotinstitute are hiring a research associate to look at how to localise the #SDGs in Bristol. Closes 23 November http://bit.ly/2mcFrEX? "
上午6:06 - 2017年11月10日," This was an awesome experience. Waste management key to achieving the SDGs. #Partnership4DGoals. "
上午6:06 - 2017年11月10日," Investors Group endorses CSOs Costed Implementation Plan, @theGFF  Secretariat & @PMNCH  announce co-financing of $800,000 in 2018 #UHC #SDGs #EWECisMEhttps://goo.gl/XuFZ5w? "
上午6:06 - 2017年11月10日," Retweeted Horizon 2020 (@EU_H2020):  #H2020 invested ?500 M to date to support #SDGs, #blueconomy, #bluegrowth... http://fb.me/6LeKphT5j? "
上午6:06 - 2017年11月10日," The #SDGs 1 No Poverty 2 Zero Hunger 3 Good Health  4 Quality Education 5 Gender Equality 6 Clean Water  7 Clean Energy 8 Decent Work  9 Innovation  10 Reduced Inequality 11 Cities 12 Consumption  13 Climate Action 14 Life Below Water 15 Life on Land 16 Peace 17 Partnerships "
上午6:05 - 2017年11月10日," Join us to learn how to build capacities for #sustainable #business #innovation. http://bit.ly/abisglobal? #ABISforSDGs #SDGs #Leadershippic.twitter.com/iFkBtsWONl "
上午6:04 - 2017年11月10日," Why SDGs provide a historical opportunity for African countries.  #SDGs #GlobalGoals @GlblCtzn @USAIDGH @SAUTIplus http://www.newtimes.co.rw/section/read/223369/?? "
上午6:03 - 2017年11月10日," Yesterday, I had the honor to discuss on @y20germany policies and globalisation with world leaders such as @antoniocostapm, George Papandreo. A special thanks to @PJenningsUNI, you truly motivated me to keep on my work on SDGs and women in leadership with @Decision_Ma!pic.twitter.com/GqyPh8btr9 "
上午6:03 - 2017年11月10日," READ: @SchneiderElec leading on #Susty from #Carbon to #genderequality http://bit.ly/2ykW7f8? #SDGs #ClimateAction #COP23 @KevinSelf1984 "
上午6:03 - 2017年11月10日," The 2030 Development Agenda #SDGs requires science, diplomacy and #science_diplomacy, but only 15 countries have national science advisors @INGSciAdvice. Also, UN does not have a science advisory mechanism that is linked to national science systems: @PeterGluckman at #WSF2017 "
上午6:03 - 2017年11月10日," She was the youngest person ever speaking at UN General Assembly. In her speech at #COP23, she tells us what young people expect from the climate negotiations. #TrillionTrees #WomenClimateJustice #SDGs pic.twitter.com/Y9HiYGLCVJ "
上午6:02 - 2017年11月10日," @GuardianSustBiz,  Please, join us for our 2nd edition on United Nations SDGs conference days at the Allianz Forum in Berlin on the 10&11th of january 2018 to make a change happen in the business worl and promote inclusive economy  for a better future! pic.twitter.com/3FY9MFqivF "
上午6:01 - 2017年11月10日," At 5 GMT, don't miss the #livestream of the high level panel on #Gender, #STEM, and the #SDGs. Part of  #ISCSMD https://goo.gl/eUQu6F? "
上午6:01 - 2017年11月10日," #WorldBenchmarkingAlliance: @GerbrandH explains how the index is being developed to ensure it's credible http://ccbriefing.com/HHglv? #SDGs "
上午6:00 - 2017年11月10日," Our #GreenSchool Committee watched this today. We discussed - Plastic pollution & our response #COP23 & greenhouse gas Green energy Zero carbon food #SDGs  We have lots to learn & lots to do Needed 280 for that! #WeAreSacredHeart #GlobalCitizens #Communityhttps://twitter.com/BBC/status/928230648413700098?? "
上午5:59 - 2017年11月10日," Tokyo Protocol Action IV: Establish new and strengthen existing partnerships and collaborations. #ISCSMD #SDGs #WorldScienceDaypic.twitter.com/5pH5uQSDBU "
上午5:59 - 2017年11月10日," Fiji and the SDGs, a lesson for us all...  https://youtu.be/X0rGBOdVyt8? via @YouTube "
上午5:59 - 2017年11月10日," Data & statistics are needed to achieve the #SDGs. New @UNDP guidance w/ 6 country studies: http://bit.ly/2xzfXGb? Happy #WorldScienceDay!pic.twitter.com/BBqZ7tggM8 "
上午5:56 - 2017年11月10日," What is the pay gap like where you are? - http://bbc.in/2zMFFIN? #Liverpool #equality #SDGs pic.twitter.com/i3zPw44Ssz "
上午5:56 - 2017年11月10日," What is the pay gap like where you are? - http://bbc.in/2zMOaDT? #Liverpool #equality #SDGs pic.twitter.com/Z6PYdrrO9s "
上午5:52 - 2017年11月10日," Dear @POTUS your handle should be AtDoofus #SDGs #COP23 #ClimateChangehttps://twitter.com/motherjones/status/928982687842521088?? "
上午5:52 - 2017年11月10日," Development in conflict-affected countries is only be possible if we embrace the women who work in engineering. Meet three woman engineers who are making it possible in Gaza http://ctg.org/the-ctg-women-engineers-who-are-helping-to-rebuild-gaza/?? ? #WorldScienceDay #SDGs #SDG5 #Gaza #worldsciencedayforpeaceanddevelopmentpic.twitter.com/6MPq8TqyAt "
上午5:50 - 2017年11月10日," Find documents & agenda for 6th meeting of the IAEG #SDGs on #GlobalGoals #indicators here- https://unstats.un.org/sdgs/meetings/iaeg-sdgs-meeting-06/??pic.twitter.com/V6XGCNZtUL "
上午5:49 - 2017年11月10日," Talking at #WSF2017, @turekian of @theNASEM confirms that science must drive #science_diplomacy. @PeterGluckman notes the 2015 international reframing re: #SDGs, Paris Climate Treaty, #Sendai Framework for #DRR where #science_diplomacy can advance the world underpinned by science "
上午5:47 - 2017年11月10日," The Storytelling Kitchen team reflects back on #TriangleSCI. It?s been a fun and exciting week with lots of food for thought that we?re eager to bring back home. #food #SDGs #storytelling #farmtotable #farmtoforkpic.twitter.com/Woi6McWf0g "
上午5:47 - 2017年11月10日," Good case study: Strong policies on SDGs and climate resilience in #Vanuatu but the next step is addressing capacity gaps for their timely implementation #Pacific #CLGD2017 #COP23 "
上午5:47 - 2017年11月10日," With 68 contributions from local and global experts, online discussion on #Women #landrights in India & SDGs have been quite enriching. See what @KarolBoudreaux talks about it. https://landportal.info/comment/2076#comment-2076??pic.twitter.com/qsdTxwRFUP "
上午5:47 - 2017年11月10日," People-centred, integrated health services will soon become a reality in the Greek city of Ioannina. http://bit.ly/2jeUq04? #Greece #UHC #SDGs pic.twitter.com/fBOKFeRkPb "
上午5:34 - 2017年11月10日," Science diplomacy?s essential role in vital global agendas, as reflected in the Sustainable Development Goals, to build bridges between societies  _Flavia Schlegel Assistant Director General for Natural Sciences, @UNESCO #WSF17 #WSFJo #SDGs pic.twitter.com/G3eCvm0bUV "
上午5:34 - 2017年11月10日," How is #climate connected to #SDGs 2 (food) and 11 (cities)? Through #water. Read our two position papers exploring the relationship! #COP23 Food: http://alliance4water.org/resources/COP-23_Food-and-Agriculture.pdf?? and Cities: http://alliance4water.org/resources/COP-23_Cities.pdf?? #SIWIatCOP #BlueLineBonn #ClimateIsWaterpic.twitter.com/75CbJhrgUT "
上午5:31 - 2017年11月10日," #LandDegradation is an accelerator of all other #SDGs, which are important for the poorest countries. It is a big part of the climate solution in terms of mitigation & adaptation. You?re not [won?t be able to] going to adapt to #ClimateChange if you don?t work on your land issue. "
上午5:31 - 2017年11月10日," #ISCSMD #SDGs goal 13: #climate action - How can science centres & museums respond to environmental issues? A piece by @JustinDillonUoB on wicked problems & the need for civic science http://bit.ly/2oRkJtT? #education #WorldScienceDaypic.twitter.com/gUrzQlACzr "
上午5:29 - 2017年11月10日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
上午5:28 - 2017年11月10日," Ministers/heads of deleg for housing, urban development and land management adopt Declaration confirming their commitments on housing and urban SDGs, the NUA and the Geneva UN Charter on Sustainable Housing @UNECEHLM @UNECE @algayerova @SlechtovaKarlahttps://www.unece.org/?id=47306? "
上午5:28 - 2017年11月10日," The @ONS has released first report into progress towards Sustainable Development Goals: in UK https://buff.ly/2zMb5Pv? #SDGs #GlobalGoalspic.twitter.com/7KUNv0YTbp "
上午5:27 - 2017年11月10日," Proud to have been presenting our new online community platform yesterday to our #SDGHouse #community  members! Over 50 sustainable organisations at @100KIT , looking for ways to share, connect and collaborate! Special thanks to @ImpactHubAMS for co-organizing! #globalgoals #SDGs pic.twitter.com/fXgF8Oa6Nn "
上午5:26 - 2017年11月10日," Thank you, @SanakaS and @UNBelarus Sharing information on #SDGs with the students is of particular importance https://twitter.com/UNBelarus/status/928939451618865154?? "
上午5:24 - 2017年11月10日," Hope leaders will return back to their countries with the motivation, zeal & guts to take adequate #ClimateAction to help reduce the effect of #climatechange & #protecttheenvironment? #COP23 #SDGs #Goal13 #Goal17 #YouthVoices #YouthAction #TheLastFlood @LeoDiCaprio @UNEP @UNFCCC "
上午5:23 - 2017年11月10日," All #UN #SDGs are interconnected, especially with #GenderEquality #womensrightshttp://www.un.org/apps/news/story.asp?NewsID=58006?? "
上午5:20 - 2017年11月10日," #H2020 invested ?500 M to date to support #SDGs, #blueconomy, #bluegrowth through #research & #innovation  ?https://twitter.com/EU_H2020/status/928963523924938753?? "
上午5:19 - 2017年11月10日," Congratulations to @PennyMordaunt on her appointment as Secretary of State for International Development. Our partnership with @DFID_UK is key as we work towards achieving Universal Health Coverage by 2030. #GlobalGoals #SDGs #globaldev "
上午5:19 - 2017年11月10日," Good to see you still sailing on. We are at #ISAYES are proud of you & your quest to get the gospel of #HIVprevention across every corner of the world.Kindly share your update with us. Thanks. #EndAIDS #adolescentHIV #LeNNiB #Prep #EndStigma #WAD2017 #Goal3 #SDGs #YouthAction "
上午5:19 - 2017年11月10日," #LandRights are key to ending poverty. I @JoinSolidGround in telling the @UN #IAEG #SDGs that indicator 1.4.2 is #Tier2Ready. #GlobalGoals "
上午5:14 - 2017年11月10日," @ppwone giving serious food for thought at annual @NCLSustainable @Social_Renewal conference #SDGs #NCLSDGhttps://twitter.com/DrMarkBooth/status/928576733799944192?? "
上午5:14 - 2017年11月10日," "The most important thing in #SDGs is monitoring the degree of implementation." Professor Fonteh Mathias presenting : tools for identifying and prioritizing #water #ressources problems: the #MERQURE method.  #Water #IWRM #Regionalworkshoppic.twitter.com/uqy5kpAbtC "
上午5:13 - 2017年11月10日," Youth dialogue on SDGs "
上午5:12 - 2017年11月10日," A fantastic day's discussion on #SDGs: excellent speakers and engagement from @UniofNewcastle colleagues. Much to build on in the coming months @NCLSustainable @GrahamLong9 @ppwonehttps://twitter.com/Social_Renewal/status/928564298418442240?? "
上午5:12 - 2017年11月10日," Save our #Earth to save our #future. Stop Global Warming.  http://www.enkingint.org? #EnKingInternational #UNFCCC #VCS #GoldStandard #GlobalWarming #ClimateChange #COP23 #SDGs #GlobalGoals #CO2Emission #SaveTheEarth #CarbonCredit #Indiapic.twitter.com/eUFQTWgvNp "
上午5:10 - 2017年11月10日," These people are strategizing in Sao Paulo how to mobilize resources for science for the SDGs through strategic collaboration across funding communities pic.twitter.com/6Y7Kb0M0Qx "
上午5:10 - 2017年11月10日," #BoP #impinv Unitus Seed Fund mapping to 4 of the UN #SDGs, says it's first fund in India to do so https://www.forbes.com/sites/annefield/2017/09/30/bop-investor-unitus-seed-fund-mapping-its-impact-to-the-uns-sustainable-development-goals/#1fadd5632357?? #socentpic.twitter.com/U4mCcKmxz9 "
上午5:05 - 2017年11月10日," Thanks Anne! The students learnt so much on Tuesday during your workshop https://youtu.be/VoRmyTBwoWE? @ConnectSDGs @SDGaction @MS_eduIRL #SDGs "
上午5:05 - 2017年11月10日," The only 280 tweet I am willing to go for @SDGs https://twitter.com/undp/status/928711602353901574?? "
上午5:04 - 2017年11月10日," Just what we are aiming for to deliver data for #SDGs https://twitter.com/saturnsa4/status/928647185650110464?? "
上午5:00 - 2017年11月10日," Explore how to integrate SDGs with #ISTE Standards in my session at the Singapore Summit @edtechteam Register here: https://goo.gl/o3qt1B?pic.twitter.com/ZeV8fjIBcg "
上午4:55 - 2017年11月10日," @DGNB_eV supports #SDGs actively. Current activities have been evaluated in #SDGs context. Future plans will be lead #SDGs Come to learn more and meet @c_lemaitre_dgnb @DK_GBC conference 5th Dec. 2017 http://llk.dk/fxr0fp?pic.twitter.com/1KgELQyXku "
上午4:52 - 2017年11月10日," Looking for the latest news on last-mile #energyaccess in #India? Check out the Powering Rural India publication, named a "Top Energy Writer" by @Medium https://goo.gl/GHnGFH? #COP23 #Renewables4Climate #SDGs #GlobalGoals #minigrids #SolarPowerpic.twitter.com/OCiyP5ID5C "
上午4:52 - 2017年11月10日," .@ICTSD_Bridges - the week in #trade news: http://bit.ly/1nrwm73? #WTO #MC11 #SDGs #TPP11 #KORUSpic.twitter.com/xhjiejgjyp "
上午4:45 - 2017年11月10日," Download the EnviTrend app today to get updates on the latest SDGs happenings in your smartphones. http://www.envitrend.com? #EnviTrend #Waterpedia #SDGs http://en.envitrend.com/read/26/loss-of-trees-in-savannahs-because-of-human-started-fires-not-elephants--59644?? "
上午4:45 - 2017年11月10日," "If we want to engage with #inclusionAI, we need to critically engage with #development and with the #SDGs" - Alison Gillwald pic.twitter.com/xQjQBZoMSH "
上午4:44 - 2017年11月10日," All for the Global Goals #280characters #SDGs https://twitter.com/SDG2030/status/928711710264963075?? "
上午4:42 - 2017年11月10日," Inclusive #trade means more women participating in the economy ? vital for achieving the #SDGs. https://twitter.com/alessiamosca/status/928913868193193984?? "
上午4:40 - 2017年11月10日," Congratulations my dear brother  @MasaluPaschal & my dear sister @Rahuuuum ,this is a dream come true, go and make Tanzania proud, go and make SDGs a reality to the youth of this world , all thanks goes to @ALVARO_UNTZ and @UnitedNationsTZ  for this opportunity "
上午4:40 - 2017年11月10日," You didn't miss our first report on UK data for the #SDGs, did you? http://ow.ly/LVST50f6jFs? #GlobalGoals #Data4SDGs "
上午4:39 - 2017年11月10日," What is the strategic importance of geospatial for SDGs (Geo4SDGs)? https://www.geospatialworld.net/blogs/importance-geospatial-for-sdgs-geo4sdgs/?? via @geoworldmedia @jujusjourney "
上午4:39 - 2017年11月10日," Mainstreaming  Climate information can address disaster issues. #COP23 #Nigeriacop23 #SDGs "
上午4:38 - 2017年11月10日," Why SDGs provide a historical opportunity for African countries http://www.newtimes.co.rw/section/read/223369/?? via @NewTimesRwanda "
上午4:38 - 2017年11月10日," .@kaiaderose fr @Connect4Climate at #China Pavilion #COP23 on using storytelling to bring people together for #climateaction & solutions #act4sdgs #Uniting4Climate #bulabonn #sdgs pic.twitter.com/TNQSHMsGcV "
上午4:35 - 2017年11月10日," #H2020 invested ?500 M to date to support #SDGs, #blueconomy, #bluegrowth through #research & #innovation ?https://twitter.com/EU_H2020/status/928963523924938753?? "
上午4:32 - 2017年11月10日," Generation 2030: Youth Engage with Nordic Countries, Vatican on SDGs | SDG Knowledge Hub | IISD http://fb.me/38FeoLHVM? "
上午4:32 - 2017年11月10日," It is not enough to ask young people to hold leaders accountable on #SDGs without building their capacity. At the @gatesfoundation #goalkeepers event in New York, I made a case for investing in young people to enable them hold their leaders accountable.https://www.youtube.com/watch?v=9gUuHqqZiQU&t=8s?? "
上午4:32 - 2017年11月10日," #H2020 invested ?500 M to date to support #SDGs, #blueconomy, #bluegrowth through #research & #innovation https://ec.europa.eu/info/research-and-innovation/p4p_en#p4p_blueconomy?? #EUeventsCOP23 #COP23pic.twitter.com/ulXvawIvwu "
上午4:31 - 2017年11月10日," Graphic: How distributed renewable electricity access can offset ~1 gigaton of CO2e http://www.powerforall.org/blog/2016/11/2/graphic-combating-climate-change?? ? #Renewables4Climate #COP23 #SDGs #GlobalGoals "
上午4:31 - 2017年11月10日," To the graduands of @multimedia_uni Class of 2017, we wish you all the best as you focus on #SDGs & #Vision2030. #KmunMMU #TeachSDGs #ActNow "
上午4:31 - 2017年11月10日," SpiceTalks 2017 is here. Its happening at the ActionAid Global Platform Nairobi on 25th November 2017. #SpiceTalks #SIMAx #SIMAKenya #GBV #Socent #creativism #spicy #talks #SwB #SDGs pic.twitter.com/uKC5fevjAY "
上午4:30 - 2017年11月10日," Going to #ICASA2017? Join PITCH on 4 Dec to hear why communities are essential for achieving the SDGs. Follow #CommunitySDGs >More soon #HIVpic.twitter.com/9m1y45v3F9 "
上午4:29 - 2017年11月10日," #ISCSMD #SDGs goal 4: quality #education - What is #science #capital & How can it be useful for informal science learning?  A must read http://bit.ly/2hH7V5R? #WorldscienceDay #Scicommpic.twitter.com/PP7gumKRRd "
上午4:28 - 2017年11月10日," Business leaders must do more #ClimateAction. We need collaborations @COP23. From all professionals to achieve SDGs @IUCN_CEC. @seansouthey. @IUCN_business. @UNFCCC. @AfricaCRP. @SustDev. @Greenpeaceafric. @AfDB_Group. @business. @BD_Africahttps://iccwbo.org/media-wall/news-speeches/4-things-business-wants-cop23/?? "
上午4:27 - 2017年11月10日," .@LHildebrandt at #China Pavilion #COP23 shares http://myworld2030.org? results to #Act4SDGs! #BulaBonn #Uniting4Climate watch live at http://facebook.com/Connect4Climate? #sdgs #globalgoalspic.twitter.com/2kcRX4RlCe "
上午4:26 - 2017年11月10日," We are in need of futuristic laws.   Any action or inaction that threatens productivity in the future should be dealt with the same way as present-day laws. (punishable)  Are we not in the era of Sustainability? #SDGs "
上午4:26 - 2017年11月10日," SDG Challenge - Solving the 17PlusONE Global Goals by 2030, who?s in to Climb the Mountain? #COP23 #3fingerw #SDGs pic.twitter.com/YjosAT5CBT "
上午4:24 - 2017年11月10日," @AromarRevi @Chandrika0501 #AnantMaringanti discuss policy convergence across #climatechange #SDGs and #disasterreduction on the closing panel at #UPD2017 @iihsinpic.twitter.com/hPGXOBELci "
上午4:23 - 2017年11月10日," 5 ways decentralized renewables impact #climate and clean energy access http://www.powerforall.org/blog/2016/11/14/5-reasons-decentralized-renewables-are-a-trump-card-for-climate-change-and-energy-access?? ? #Renewables4Climate #COP23 #Cop23Bonn #EnergyDay #SDGs #GlobalGoals "
上午4:22 - 2017年11月10日," LIVE now @LHildebrandt on how the @UN uses technology to communicate #climatechange & #SDGs #BulaBonn #ACT4SDGs #United4Climate https://www.facebook.com/Connect4Climate/?? @Connect4Climatepic.twitter.com/maf1ESvDP0 "
上午4:22 - 2017年11月10日," "The world will not be able to meet the goals of the #ParisAgreement -or many #SDGs - unless it takes into account the state of #biodiversity and ecosystem services." @IPBES #COP23 Key Message!https://twitter.com/IPBES/status/928949444711669760?? "
上午4:18 - 2017年11月10日," Introducing ABIS #Sustainability #Award nominees: @UCOMILLAS & SOCIAL #BUSINESS GUIDANCE SERVICE: http://ow.ly/HdAq30guiht? #AbisAward #SDGs pic.twitter.com/C4B7Xv3P0a "
上午4:16 - 2017年11月10日," None of the @GlobalGoalsUN are possible without #Goal5 - #GenderEquality is integral & a precondition to the success of all 17 #SDGs - Keystone https://twitter.com/globalgoalsun/status/928579261660876802?? "
上午4:16 - 2017年11月10日," Access my full speech on my @RestlessDev #YouthPower work during the #UNGA72.  Young people continue to champion the #SDGs. We need more support and capacity building to contribute more meaningfully. https://www.youtube.com/watch?v=cUN-hJ9-7b4&t=545s@CIFFchild?? @cmghana @YouthDeliver @EDDYoungLeaders @WFUNA @SDGLab "
上午4:16 - 2017年11月10日," LIVE now at #China Pavilion at #COP23 on #Climate Communication & Public Awareness. Watch at https://www.facebook.com/Connect4Climate/?? @Connect4Climate. Up next: @LHildebrandt on how the @UN uses technology to communicate #climatechange & #SDGs #BulaBonn #ACT4SDGs #United4Climatepic.twitter.com/1IsoBgNEBe "
上午4:14 - 2017年11月10日," Indigenous peoples are agents of change in #SDGs and in combating #climatechange  must be kept in mind in #COP23https://www.youtube.com/watch?v=emFSfc-wZq4?? "
上午4:10 - 2017年11月10日," A #classroom for so many around the is a #family, be grateful for those you have around you & #help each other to #success! #SDGs #empathy "
上午4:07 - 2017年11月10日," Friends!   Please fill out this survey on the #BRICS & the #UN #SDGs http://bit.ly/2je5479?pic.twitter.com/wwSY6RNpQi "
上午4:05 - 2017年11月10日," Tokyo Protocol Action III: Serve as platforms for discourse and exchange among all diverse actors in #society on these critical issues. #SDGs #ISCSMD #WorldScienceDay @sparks_eu @Nano2AllProject @HEIRRI_ @SeaChange_EU @Hypatiaprojectspic.twitter.com/QxF4cfmOw0 "
上午4:05 - 2017年11月10日," Yes @CBjola Multiple actors with strong stake in #SDGs. Networks can multiply impact and turn up the volume on #GlobalGoods. #VisionBritainhttps://twitter.com/CBjola/status/928955469221302272?? "
上午4:02 - 2017年11月10日," What are the UN Sustainable Development Goals? - Officially coming into force on 1 January 2016, the 17 UN SDGs... http://ow.ly/Lc3a50f6hFj? "
上午4:01 - 2017年11月10日," Have you started watching yet? #Women and #Girls in #STEM: Solving the Problems. http://ow.ly/9AdG30gu8cG? #ISCSMD #SDGs #SDG5 #genderequity "
上午4:01 - 2017年11月10日," Join us to learn how to build capacities for #sustainable #business #innovation. http://bit.ly/abisglobal? #ABISforSDGs #SDGs #Leadershippic.twitter.com/dFL0jDrXNy "
上午4:00 - 2017年11月10日," Find out how Africa has fared in implementing #SDGs in the 2017 @UNDP  Africa Sustainable #DevelopmentReport | http://ow.ly/ugjs30guf15?pic.twitter.com/tgUZx7SXla "
上午4:00 - 2017年11月10日," Only 40% of the urban population has access to improved sanitation facilities http://snipbfp.org/2zsnjf9? #Health #SDGs @NeilJefferyWSUP @WSUPUKpic.twitter.com/cyqaUz4ACD "
上午4:00 - 2017年11月10日," Water power is instrumental in combating climate change! #COP23?s Water-Energy Nexus event explores how hydroelectric power links to realizing the #ParisAgreement & #SDGs  Find out what else is happening at the UN Climate Change Conference in Bonn: https://cop23.unfccc.int/?pic.twitter.com/yccyV8CwxB "
上午3:55 - 2017年11月10日," At #EUeventsCOP23, @mvisbeck discussing #ClimateforOcean & realizing the #SDGs, particularly #SDG14, #Ocean Sustainability @CopernicusEU #Marine SideEventpic.twitter.com/VU6OrPJZxq "
上午3:54 - 2017年11月10日," Happy #WorldScienceDay!  6 ways to celebrate with #CitizenScience http://blogs.discovermagazine.com/citizen-science-salon/2017/11/09/citizen-science-science-centers/#.WgWRo3NMHqB?? #ISCSMD #ScienceDay #GlobalGoals #SDGs #CitScipic.twitter.com/O4amXGeZ4q "
上午3:53 - 2017年11月10日," Great post! And if anyone needs any beyond the box growth hacking inbound traffic & copy content tips for their projects please feel free to DM me . #SDGs #Europe #SocialMedia #TwitterMagic #Instagram "
上午3:53 - 2017年11月10日," At #COP23 Bonn Zone ground floor, you can talk to #IAEA team on #NuclearPower's role in #ClimateChange, #ParisAgreement, #SDGs, #GlobalGoals Side events: http://goo.gl/JBSwLi?  Videos: https://goo.gl/nBdj1f? & http://youtu.be/PB4z-58cj7k? & https://goo.gl/EJtLzo?pic.twitter.com/fPVWUwLptK "
上午3:53 - 2017年11月10日," The  #latamforum2018 will host four dynamic sessions inspired by the #globalgoals #sdgs for #2030. Full agenda: http://ow.ly/Lrpf30gug9x?pic.twitter.com/R18uzeSt0E "
上午3:52 - 2017年11月10日," Introducing the ABIS #Sustainability #Award nominees: University of Amsterdam & their MBA course: http://ow.ly/j5ej30gugzN? #AbisAward #SDGs pic.twitter.com/aL7nz7YRB4 "
上午3:52 - 2017年11月10日," FAO presenting on #sdgs and #Agenda2030 ?BFPlenary2017pic.twitter.com/t08Ee6JWyX "
上午3:49 - 2017年11月10日," We still have a handful of tickets for our FREE public lecture 'Delivering the SDGs' with a keynotes by @CommonwealthSec Baroness Scotland Prof Charlotte Watts CSA to @DFID_UK @UniSouthampton 's Prof Sybren Drijfhout TKTS: http://bit.ly/PPSDeliveringtheSDGs?? #UoSLecturespic.twitter.com/2u9QCEZ3Nx "
上午3:47 - 2017年11月10日," Effective land administration workshop in Addis, 9 - 13 Nov, partnerships @RCMRD_ @GLTNnews @gltnstdm @giz_gmbh @ECA_OFFICIAL #landrights #SDGs #genderpic.twitter.com/oXFfyfeqo7 "
上午3:47 - 2017年11月10日," Lunch break now at the #SDGs #GlobalGoals game ... outlook not so great ! #ISCSMD #SCN_austriapic.twitter.com/YMapAEv7y5 "
上午3:40 - 2017年11月10日," @JuanManSantos says 'one of the worst enemies of the #environment is #poverty' #KewIntAward #SDGs pic.twitter.com/eCEA618LZ7 "
上午3:39 - 2017年11月10日," #SDGs opportunity for UK to show leadership and to deliver? Watch this space @WiltonPark. Thoughts @ruthvshaw ?https://twitter.com/drjsimonrofe/status/928937789114155008?? "
上午3:36 - 2017年11月10日," I have started a campaign to mobilize youth to engage in achieving SDGs. Today, I am having the first campaign at @klabrw with youth from all parts of Kigali city. We are having presenters from UNDP and UNFPA "
上午3:33 - 2017年11月10日," #SDGsFest moves on to #Birgunj tomorrow, where youths from Province 2 will be coming together to talk the #SDGs and potential ways to localize & achieve the #GlobalGoals in their communities! @SophieKemkhadze #NepalYouthCouncilpic.twitter.com/YrwRoYEM1D "
上午3:33 - 2017年11月10日," Great opportunity for new professionals  ! Share your case studies and ideas on the role of #libraries  in achieving #SDGs #Generation2030 #NewLibrarian #Lib4Devhttp://sdg.iisd.org/commentary/generation-2030/generation-2030-have-your-say/?? "
上午3:33 - 2017年11月10日," Introducing the ABIS #Sustainability #Award nominees: A2A & their SUSTAINABILITY PLAN: http://ow.ly/2rC830guf5B? #AbisAward #ABISforSDGs #SDGs pic.twitter.com/zTWVYG4Ip9 "
